Causa;Probabilidad
CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).;0.24117742722393884
CONDUCIR VEHÍCULO SUPERANDO LOS LÍMITES MÁXIMOS DE VELOCIDAD.;0.23440125765707162
NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).;0.1477747059142408
NO MANTENER LA DISTANCIA PRUDENCIAL CON RESPECTO AL VEHÍCULO QUE LE ANTECEDE.;0.06526806526806526
CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.;0.05296254133463436
REALIZAR CAMBIO BRUSCO O INDEBIDO DE CARRIL.;0.038326015070201114
NO GUARDAR LA DISTANCIA LATERAL MÍNIMA DE SEGURIDAD ENTRE VEHÍCULOS.;0.03371821976473139
CONDICIONES AMBIENTALES Y/O ATMOSFÉRICAS (NIEBLA, NEBLINA, GRANIZO, LLUVIA).;0.025044722719141325
CONDUCIR EN SENTIDO CONTRARIO A LA VÍA NORMAL DE CIRCULACIÓN.;0.024502629153791946
CONDUCIR EN ESTADO DE SOMNOLENCIA O MALAS CONDICIONES FÍSICAS (SUEÑO, CANSANCIO Y FATIGA).;0.022659511031604056
CASO FORTUITO O FUERZA MAYOR (EXPLOSIÓN DE NEUMÁTICO NUEVO, DERRUMBE, INUNDACIÓN, CAÍDA DE PUENTE, ÁRBOL, PRESENCIA INTEMPESTIVA E IMPREVISTA DE SEMOVIENTES EN LA VÍA, ETC.).;0.017075947308505448
BAJARSE O SUBIRSE DE VEHÍCULOS EN MOVIMIENTO SIN TOMAR LAS PRECAUCIONES DEBIDAS.;0.01702173795197051
NO CEDER EL DERECHO DE VÍA O PREFERENCIA DE PASO AL PEATÓN.;0.014799154334038054
NO CEDER EL DERECHO DE VÍA O PREFERENCIA DE PASO A VEHÍCULOS.;0.014040223342548924
PEATÓN QUE CRUZA LA CALZADA SIN RESPETAR LA SEÑALIZACIÓN EXISTENTE (SEMÁFOROS O SEÑALES MANUALES).;0.012088686507291158
NO TRANSITAR POR LAS ACERAS O ZONAS DE SEGURIDAD DESTINADAS PARA EL EFECTO.;0.009920312245893641
FALLA MECÁNICA EN LOS SISTEMAS Y/O NEÚMATICOS (SISTEMA DE FRENOS, DIRECCIÓN, ELÉCTRÓNICO O MECÁNICO).;0.007697728627961186
MALAS CONDICIONES DE LA VÍA Y/O CONFIGURACIÓN. (ILUMINACIÓN Y DISEÑO).;0.005800401149238359
PRESENCIA DE AGENTES EXTERNOS EN LA VÍA (AGUA, ACEITE, PIEDRA, LASTRE, ESCOMBROS, MADEROS, ETC.).;0.004228329809725159
ADELANTAR O REBASAR A OTRO VEHÍCULO EN MOVIMIENTO EN ZONAS O SITIOS PELIGROSOS TALES COMO: CURVAS, PUENTES, TÚNELES, PENDIENTES, ETC.;0.0035778175313059034
PEATÓN TRANSITA BAJO INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.;0.002493630400607145
DAÑOS MECÁNICOS PREVISIBLES.;0.002222583617932455
DEJAR O RECOGER PASAJEROS EN LUGARES NO PERMITIDOS.;0.0010299777741638206
PESO Y VOLUMEN - NO CUMPLIR CON LAS NORMAS DE SEGURIDAD NECESARIAS AL TRANSPORTAR CARGAS.;0.0010299777741638206
MAL ESTACIONADO - EL CONDUCTOR QUE DETENGA O ESTACIONE VEHÍCULOS EN SITIOS O ZONAS QUE ENTRAÑEN PELIGRO, TALES COMO ZONA DE SEGURIDAD, CURVAS, PUENTES, TÚNELES, PENDIENTES.;0.0004878842088144414
NO RESPETAR LAS SEÑALES MANUALES DEL AGENTE DE TRÁNSITO.;0.0004878842088144414
DISPOSITIVO REGULADOR DE TRÁNSITO EN MAL ESTADO DE FUNCIONAMIENTO (SEMÁFORO).;0.0001626280696048138
